keyword,competition,lower_bid,upper_bid,CPC
cia telefono,59,1.87,5.44,2.67
cliente telefonico,0,0.0,0.0,0.92
cliente vodafone numero,5,2.57,2.59,2.82
clientes telefonica,12,1.49,1.98,1.85
clientes vodafone telefono,8,2.56,2.59,2.74
coberrura,1,0.0,0.0,0.61
cobertira,1,0.0,0.0,0.61
cobertua,1,0.0,0.0,0.61
cobertura,0,0.47,1.94,0.61
cobertura 4g,8,0.27,1.28,0.62
adsl y movil barato,60,0.98,2.68,1.7
adsl y móvil barato,60,0.98,2.68,1.7
adsl y movil ofertas,50,1.01,2.93,1.5
adsl y movil tarifas,52,0.76,2.97,1.17
ajustes del movil,1,0.07,0.4,0.11
albacete fibra,8,0.45,1.47,0.81
alta fibra movistar,37,0.57,3.19,0.98
alta nueva con movil gratis,64,1.14,3.62,1.97
alta nueva con móvil gratis,64,1.14,3.62,1.76
alta nueva con móvil gratis movistar,45,0.37,1.79,0.61
alta nueva con móvil gratis vodafone,43,0.49,1.9,0.75
alta nueva con terminal,84,1.18,3.59,2.06
alta nueva con terminal gratis,63,1.42,4.26,1.88
alta nueva movil gratis,64,1.14,3.62,1.76
alta nueva orange con terminal,48,0.76,8.33,2.69
amplificar wifi en casa,100,0.06,0.28,0.16
andorra datos moviles,14,1.37,5.11,1.11
andorra internet movil,27,0.93,3.52,1.07
andorra roaming,10,1.3,5.01,1.43
android roaming,0,0.0,0.0,0.09
añadir dispositivo adicional movistar,13,0.32,0.68,0.41
añadir linea movil movistar,24,0.51,1.51,0.52
aplicacion mas movil,15,0.64,1.69,0.98
apn ios,4,0.67,3.94,1.79
apn iphone,1,0.07,0.26,0.3
app tarjeta prepago correos,3,0.65,4.4,2.2
area cliente mas movil,0,0.34,3.15,0.59
area cliente moviestar,0,1.4,1.98,0.48
area cliente movistar,0,1.4,1.98,1.3
area clientes mas movil,0,0.34,3.15,0.59
area clientes movistar,0,1.39,1.97,1.3
área de clientes movistar,1,1.48,1.98,0.79
as movil,0,1.21,4.0,2.62
as móvil,0,1.21,4.0,2.62
at al cliente vodafone,7,2.57,2.59,2.82
atención al cliente de vodafone gratuito,8,2.56,2.58,3.11
atención al cliente de vodafone número,6,2.57,2.59,2.82
atención al cliente de vodafone número de teléfono,11,2.55,2.58,2.81
atención al cliente fi network,1,0.0,0.0,1.14
atencion al cliente gratis vodafone,5,2.24,2.58,2.18
atencion al cliente gratuito vodafone,9,2.57,2.59,2.83
atención al cliente más movil,18,0.35,0.35,0.37
atención al cliente más móvil,22,0.34,0.35,0.37
atencion al cliente másmóvil desde otro operador,12,0.35,0.39,0.4
atención al cliente másmóvil teléfono,19,0.35,0.35,0.37
atencion al cliente movistar desde otro operador,23,1.48,1.98,1.44
atencion al cliente orange desde otra compañia,20,0.47,0.72,0.64
atencion al cliente orange desde otro operador,28,0.42,0.72,0.62
atención al cliente orange desde otro operador,28,0.42,0.72,0.62
atencion al cliente orange numero gratis,0,0.0,0.0,0.74
atencion al cliente orange otro operador,28,0.42,0.72,0.64
atencion al cliente orange telefono,26,0.28,0.72,0.51
atención al cliente playstation network,15,0.33,0.44,0.43
atencion al cliente samsung españa,6,0.34,1.16,0.71
atencion al cliente telefono vodafone,4,2.57,2.59,2.83
atencion al cliente vodafone 24 horas,0,0.0,0.0,2.81
atencion al cliente vodafone desde otra compañia,0,0.0,0.0,2.82
atencion al cliente vodafone desde otro operador,8,2.57,2.59,2.83
atención al cliente vodafone desde otro operador,8,2.56,2.58,2.83
atencion al cliente vodafone empresa,2,16.73,54.68,1.2
atencion al cliente vodafone empresas,2,16.73,54.68,1.2
atencion al cliente vodafone gratis,5,2.24,2.58,2.09
atención al cliente vodafone gratis,5,2.24,2.59,2.09
atención al cliente vodafone gratuito,9,2.57,2.59,2.83
atencion al cliente vodafone otro operador,8,2.57,2.59,2.83
atencion al cliente vodafone teléfono,4,2.56,2.59,2.81
atencion al cliente vodafone telefono desde otro operador,1,2.57,2.59,2.83
atencion al cliente vodafone telefono gratuito,2,2.56,2.59,2.82
atencion al cliente vodafone teléfono gratuito,2,2.56,2.59,2.82
atencion al cliente xiaomi chat,3,0.21,0.6,0.25
atención cliente más movil,19,0.35,0.35,0.37
atencion cliente movistar gratis,14,1.48,9.39,1.49
atencion cliente movistar telefono gratuito,18,1.48,1.98,1.43
atencion cliente orange desde otro operador,35,0.46,0.73,0.64
atencion cliente orange gratuito,30,0.23,0.82,0.49
atencion cliente vodafone desde otra compañia,0,0.0,0.0,2.82
atencion cliente vodafone desde otro operador,6,2.57,2.59,2.82
atención cliente vodafone gratis,5,2.25,2.59,2.09
atencion cliente vodafone gratuito,13,1.98,2.58,2.03
atencion cliente vodafone numero,3,2.57,2.59,2.83
atencion clientes orange empresas,27,0.41,2.4,1.47
atencion clientes r,2,0.4,0.49,0.45
atencion clientes vodafone telefono,4,2.57,2.59,2.83
att cliente digi,23,0.06,0.45,0.14
avería digi fibra,3,0.08,0.47,0.33
ayuda orange roaming,5,0.34,0.55,0.44
barato movil,78,0.34,2.21,0.23
1gb fibra,56,0.69,2.19,1.1
2 lineas datos ilimitados,57,0.76,3.84,1.07
2 lineas movil,55,0.58,2.36,1.22
2 lineas movil datos ilimitados,60,0.55,2.53,0.9
2 líneas móvil datos ilimitados,60,0.55,2.53,0.9
2 líneas móvil datos ilimitados movistar,42,0.28,1.03,0.38
2 lineas movil mas fibra,61,0.9,2.91,1.38
2 lineas movil movistar,38,0.3,1.49,0.44
2 líneas móvil movistar,38,0.3,1.49,0.43
2 lineas movil y fibra,66,0.91,3.2,1.31
2 lineas movil y fibra movistar,42,0.25,0.99,0.83
2 lineas moviles,55,0.58,2.36,1.42
2 líneas móviles ilimitadas,53,0.62,3.24,1.37
2 lineas moviles y fibra,66,0.91,3.2,1.31
3 lineas movil y fibra,63,0.79,2.36,1.26
3 líneas móviles datos ilimitados,56,0.5,2.36,0.9
3 lineas moviles y fibra,62,0.76,2.77,1.49
300 mb,20,0.58,2.08,0.77
300 mb fibra es mucho o poco,14,0.49,1.31,0.94
300 megas,20,0.59,1.86,0.72
4 lineas moviles mas fibra,65,0.96,2.64,1.54
4g casa,67,0.65,2.07,1.01
4g en casa,85,0.46,2.07,1.01
4g en casa ilimitado,68,0.33,1.98,0.71
4g velocidad,1,0.0,0.0,0.99
50 gb,10,0.85,2.09,0.53
900 es gratuito desde movil,0,0.0,0.0,2.71
900 gratis,0,2.03,5.89,3.74
900 son gratis,0,2.03,5.89,3.74
a que hora se hace la portabilidad orange,26,0.75,2.17,1.06
a quien pertenece este numero de telefono movil españa,6,0.1,0.32,0.15
activar bono vodafone prepago,0,0.0,0.0,0.93
activar el roaming,0,0.1,0.8,0.1
activar esim vodafone,4,2.57,2.59,1.35
activar internet,5,0.09,1.48,0.82
activar internet vodafone,17,0.4,2.59,3.84
activar itinerancia de datos,0,0.0,0.0,0.17
activar la itinerancia de datos,0,0.0,0.0,0.17
activar llamada en espera,0,0.22,1.08,0.5
activar roaming,0,0.1,0.8,0.12
activar roaming vodafone,8,2.57,2.59,2.82
activar rooming,0,0.1,0.8,0.1
activar running,0,0.0,0.0,0.09
activar sim orange,9,0.41,0.53,0.57
activar sim orange desde móvil,15,0.37,0.53,0.64
activar tarifa vodafone,14,2.22,2.58,1.78
activar tarifa vodafone 10 euros,18,0.4,4.28,1.08
activar tarifa vodafone prepago,0,0.0,0.0,0.94
activar tarjeta mas movil,18,0.64,1.61,1.21
activar tarjeta sim orange,13,0.37,1.31,0.48
adsl autonomos,52,0.49,3.02,2.22
adsl barata,60,0.69,2.82,1.4
adsl barato,60,0.69,2.82,1.27
adsl barato sin fijo,58,0.52,2.34,1.03
adsl barato sin permanencia,36,0.64,3.22,1.41
adsl casa,54,0.71,4.18,2.13
adsl cobertura,37,0.55,2.68,1.5
adsl el mas barato,55,0.62,2.41,1.4
adsl empresa,47,2.36,5.22,3.48
adsl empresas,47,2.36,5.23,2.65
adsl en casa,54,0.71,4.18,1.98
adsl fijo,30,0.68,2.74,0.95
adsl fijo 2 lineas movil,22,1.03,2.97,1.05
adsl fijo y movil,20,0.7,1.77,0.8
adsl internet,44,0.68,3.04,1.41
adsl mas barato,55,0.62,2.41,1.27
adsl mas movil,35,0.94,2.98,1.79
adsl movil,46,1.08,2.78,1.66
adsl movil comparativa,17,0.76,3.08,1.11
adsl movistar,29,0.38,1.97,0.78
adsl movistar empresas,3,1.01,7.08,2.01
adsl movistar precio,28,0.36,1.78,0.83
adsl oferta,48,0.83,3.21,1.41
adsl ofertas,48,0.83,3.21,1.41
adsl portatil,93,0.21,1.05,0.49
adsl precios,50,0.5,1.98,0.81
adsl sin fijo,31,0.41,1.39,1.08
adsl sin permanencia,51,1.45,3.84,1.44
adsl sin permanencia y sin fijo,47,0.95,3.12,1.33
adsl tarifa,43,0.69,3.01,1.31
adsl tarifas,43,0.69,3.0,1.31
adsl valencia,11,1.0,2.56,1.95
adsl y movil,46,1.08,2.78,1.35
