keyword,competition,lower_bid,upper_bid,CPC
fibra 2 lineas movil datos ilimitados,58,0.77,2.09,0.93
fibra 2 lineas movil futbol,59,0.62,2.53,1.11
fibra 2 lineas movil mas baratas,59,0.76,2.2,1.16
fibra 2 líneas móvil más baratas,59,0.76,2.19,1.16
fibra 2 lineas movil masmovil,58,1.18,1.2,0.72
fibra 2 lineas movil movistar,41,0.3,0.99,0.53
fibra 2 lineas movil tv,60,0.65,2.53,1.09
fibra 2 líneas móvil tv,60,0.65,2.53,1.09
fibra 2 lineas moviles,66,0.81,2.66,1.47
fibra 2 movil,63,0.72,2.19,1.37
fibra 2 moviles,63,0.72,2.19,1.37
fibra 2 residencia,56,0.58,1.99,0.75
fibra 20 euros,58,0.75,2.65,1.13
fibra 3 lineas movil datos ilimitados,54,0.67,2.1,0.95
fibra 300,57,0.64,2.02,1.18
fibra 300 mb,56,0.58,2.02,0.92
fibra 300 mb barata,64,0.66,2.23,0.94
fibra 300 mb que significa,14,0.39,0.9,0.74
fibra 300 mb sin permanencia,56,1.06,2.62,2.01
fibra 4 lineas movil,63,0.79,2.39,1.52
fibra 600 mb 2 lineas movil,60,0.98,2.54,1.1
fibra 600 mb más barata,57,0.68,2.1,0.89
fibra 600 mb movistar opiniones,11,1.09,1.88,0.67
fibra a casa,48,1.54,4.68,1.54
fibra adsl,50,0.78,3.01,1.49
fibra al mejor precio,52,0.75,2.77,1.51
fibra alicante,38,0.95,3.05,1.68
fibra asturias,47,0.76,2.8,1.5
fibra autonomos,64,1.67,6.08,2.45
fibra barata,61,0.79,2.77,1.32
fibra barata barcelona,66,0.69,2.46,1.52
fibra barata en casa,68,0.93,3.28,1.66
fibra barata españa,49,0.81,2.94,1.14
fibra barata madrid,62,0.65,2.44,1.21
fibra barata sin fijo,61,0.68,2.29,1.01
fibra barata sin permanencia,60,0.84,2.84,1.37
fibra barata valencia,63,0.72,2.02,1.1
fibra casa,64,1.0,4.27,1.54
fibra casa barata,64,0.73,2.52,1.62
fibra cobertura,55,0.59,2.75,1.24
fibra cobertura movistar,25,0.47,2.67,1.83
fibra con fijo,64,0.63,2.62,1.2
fibra con netflix,59,0.85,2.97,1.32
fibra con netflix gratis,52,0.66,2.18,1.23
fibra con telefonica,48,1.12,2.74,1.37
fibra contratar,63,1.63,5.65,2.64
fibra correos,27,0.66,2.08,1.21
fibra de 1gb,71,0.76,2.18,1.12
fibra de internet,77,1.42,4.64,2.0
fibra dos lineas movil,61,0.73,2.49,1.27
fibra dos moviles,59,0.6,2.22,1.16
fibra economica,63,1.11,3.06,1.67
fibra elche,42,0.67,2.33,1.5
fibra empresas,60,2.45,6.93,3.92
fibra en casa,64,1.01,4.29,2.07
fibra en casa barata,64,1.14,4.58,1.76
fibra en casa ofertas,64,0.89,4.35,2.14
fibra en casa sin permanencia,60,1.17,3.94,2.01
fibra en españa,50,1.15,3.28,1.67
fibra en madrid,51,0.82,2.57,1.77
fibra en mi zona,60,0.92,3.7,1.88
fibra en valladolid,32,1.0,4.76,1.3
fibra espana,57,1.2,3.4,2.42
fibra españa,50,1.15,3.27,1.67
fibra estudiantes sin permanencia,50,0.61,2.09,1.17
fibra fijo 2 lineas movil,54,0.54,2.09,0.9
fibra fijo 2 lineas movil comparador,53,0.52,1.73,0.9
fibra fijo 2 lineas movil masmovil,41,0.83,1.19,1.05
fibra fijo 2 lineas movil movistar,32,0.23,0.99,0.49
fibra fijo 2 lineas movil orange,14,0.36,1.4,1.31
fibra fijo 2 lineas movil vodafone,23,0.29,1.16,0.64
fibra fijo 2 moviles,57,0.59,2.18,1.0
fibra fijo 3 lineas movil,47,0.59,2.09,0.94
fibra fijo 3 lineas movil tv,57,0.72,2.1,0.98
fibra fijo 4 lineas movil,51,0.52,2.09,1.01
fibra fijo 4 líneas móvil,51,0.52,2.08,1.01
fibra fijo movil,61,0.63,2.12,1.06
fibra fijo ofertas,58,0.72,2.34,1.15
fibra fijo y 2 moviles,57,0.59,2.18,1.0
fibra fijo y movil,61,0.63,2.13,1.06
fibra fijo y móvil,61,0.63,2.13,1.06
fibra fijo y movil mas barato,71,0.63,2.5,0.93
elegir numero móvil prepago,0,0.0,0.0,0.42
elegir número móvil prepago,43,0.34,1.02,0.54
email atencion al cliente orange,3,0.0,0.0,0.58
empresa de telefonia movil,54,1.11,4.21,1.89
empresa movil,56,1.58,5.21,2.57
empresa telefonia,41,1.1,4.17,2.39
empresa telefonia movil,62,2.08,6.77,2.48
empresas de fibra optica,34,0.84,3.07,1.83
empresas de fibra óptica,34,0.84,3.06,1.83
empresas de internet en españa,55,1.04,4.57,2.16
empresas de telefonia baratas,14,1.04,3.08,1.82
empresas de telefonia e internet en españa,64,0.51,2.51,2.43
empresas fibra,49,2.06,5.94,3.13
empresas internet,52,1.75,5.58,3.16
empresas movil,56,1.58,5.22,2.57
empresas moviles,56,1.58,5.22,2.57
empresas telefonia,41,1.1,4.18,2.52
empresas telefonía,41,1.1,4.18,2.39
empresas telefonia españa,52,1.18,5.14,2.17
empresas telefonicas,14,1.46,5.25,2.22
empresas telefónicas,14,1.46,5.26,2.39
encontrar mi movil con el numero de telefono gratis,57,0.22,0.7,0.3
eres rebajas,100,0.19,0.87,0.36
es gratis el telefono 900,0,2.12,5.74,2.94
es necesario tener telefono fijo para tener fibra optica,14,0.58,1.98,1.08
es necesario tener teléfono fijo para tener fibra óptica,14,0.58,1.98,1.08
esim barcelona,58,0.96,3.62,1.9
esim contratar,76,0.59,1.99,0.96
esim espana,100,0.74,2.23,1.33
esim españa,98,0.54,2.0,0.92
esim españa online,100,0.55,1.81,0.81
esim gratis españa,74,0.33,0.68,0.42
esim madrid,57,1.35,3.9,2.32
esim mas movil,29,0.54,1.17,0.64
esim multisim,77,0.52,2.67,0.75
esim orange precio,62,0.37,0.74,0.53
esim precio,79,0.35,0.6,0.46
esim prepago españa,97,0.33,1.0,0.53
esim prepago online,100,0.52,1.28,0.74
esim spain,100,0.92,2.9,1.5
espana internet,33,0.9,2.98,1.85
españa internet,23,1.4,2.53,1.28
españa movil,35,0.42,1.4,0.68
españa numero de telefono,4,0.33,0.54,0.35
estado portabilidad digi,12,0.24,0.45,0.26
eu roaming,6,0.28,1.77,0.8
factura mas movil,1,0.0,0.0,0.48
factura orange online,2,0.1,0.48,0.21
factura telefonica,0,0.19,7.33,2.13
